ID,標籤,主旨,主分類,次分類,檔案名稱,類型,路徑,啟用,負責人,創建日期,最後更新人,最後更新日期
298bc80d-c8b5-4719-a18b-ed7abc7ecd7f, ,請假單_Ver.4操作流程,BPM,操作手冊,BPM_請假單_V4.mht,html,http://sai-wsus12/faq/BPM/BPM_請假單_V4.mht,Y,SystemTransfert,2018/10/09,SystemTransfert,2018/10/09
eb5ddcfc-5fcf-455a-b69a-fbafe1d58dbe, ,加班單操作流程,BPM,操作手冊,BPM_加班單.mht,html,http://sai-wsus12/faq/BPM/BPM_加班單.mht,Y,SystemTransfert,2013/11/27,SystemTransfert,2013/11/27
2353862a-119c-45f4-a3ac-e7771041e7b9, ,補刷卡單操作流程,BPM,操作手冊,BPM_補刷卡單.mht,html,http://sai-wsus12/faq/BPM/BPM_補刷卡單.mht,Y,SystemTransfert,2013/11/27,SystemTransfert,2013/11/27
4cd850bd-0724-4eb6-9537-c9f9bf3c782f, ,輪班單操作流程,BPM,操作手冊,BPM_輪班表.mht,html,http://sai-wsus12/faq/BPM/BPM_輪班表.mht,Y,SystemTransfert,2013/11/27,SystemTransfert,2013/11/27
16b8729d-de87-4a8c-bcd6-188c1d40d7bc, ,加班單及請假單取消操作流程,BPM,操作手冊,BPM_加班單及請假單取消.mht,html,http://sai-wsus12/faq/BPM/BPM_加班單及請假單取消.mht,Y,SystemTransfert,2013/11/27,SystemTransfert,2013/11/27
5326cab6-0aec-4e2a-b93d-babe3e976f6e, ,SHIPPING_NOTICE操作流程,BPM,操作手冊,BPM_SHIPPING_NOTICE操作流程.mht,html,http://sai-wsus12/faq/BPM/BPM_SHIPPING_NOTICE操作流程.mht,Y,SystemTransfert,2013/11/27,SystemTransfert,2013/11/27
a015c957-4c16-4dd8-b0e8-d60882155382, ,公出及費用申請單操作流程,BPM,操作手冊,BPM_公出及費用申請單.mht,html,http://sai-wsus12/faq/BPM/BPM_公出及費用申請單.mht,Y,SystemTransfert,2013/11/27,SystemTransfert,2013/11/27
443830e3-7480-4bc4-8bbf-75795d1a5c33, ,物品放行條操作流程,BPM,操作手冊,BPM_物品放行條操作說明.mht,html,http://sai-wsus12/faq/BPM/BPM_物品放行條操作說明.mht,Y,SystemTransfert,2013/11/27,SystemTransfert,2013/11/27
eb5dc6f6-82e6-4165-98f2-013038667b34, ,空運快遞出貨需求單操作流程,BPM,操作手冊,BPM_空運快遞出貨需求單操作流程.mht,html,http://sai-wsus12/faq/BPM/BPM_空運快遞出貨需求單操作流程.mht,Y,SystemTransfert,2014/07/24,SystemTransfert,2014/07/24
639bddd1-ec47-40b7-b398-b611e23213ea, ,停車場申請流程,BPM,操作手冊,使用者操作手冊_停車場租用_V01.mht,html,http://sai-wsus12/faq/BPM/使用者操作手冊_停車場租用_V01.mht,Y,SystemTransfert,2014/07/24,SystemTransfert,2014/07/24
